iso3,country_name,basel_score,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_per_capita,gdp_log
ROU,ROMANIA,4.9,-1.36675196141004,5.65290328860283,-0.0029070435739413,5.10346293449402,46.0,21.4924327841648,69.1155037619615,15503.551804598,9.64882442534053
ROU,ROMANIA,4.9,0.232148366048932,-1.00016140937805,-0.0029070435739413,5.10346293449402,46.0,21.4924327841648,69.1155037619615,15503.551804598,9.64882442534053
ROU,ROMANIA,4.9,0.232148366048932,5.65290328860283,-0.0029070435739413,5.10346293449402,46.0,21.4924327841648,69.1155037619615,15503.551804598,9.64882442534053
ROU,ROMANIA,4.9,0.232148366048932,5.65290328860283,-0.0029070435739413,1.77985006570816,46.0,21.4924327841648,69.1155037619615,15503.551804598,9.64882442534053
ROU,ROMANIA,4.9,0.232148366048932,5.65290328860283,-0.0029070435739413,5.10346293449402,46.0,21.4924327841648,69.1155037619615,15503.551804598,9.64882442534053
BHR,BAHRAIN,4.82,1.95234170556068,6.13996550440788,8.96101450920105,13.5888690948486,42.0,16.8505188768363,69.1155037619615,30470.5219276023,10.324515001061876
PER,PERU,4.81,-11.3090564012527,-7.72955733537674,-5.57299283146858,2.92004972696304,33.0,5.17972576745675,57.4978561461709,7350.63034300417,8.90254134948257
ALB,ALBANIA,4.75,-5.71245488524437,-2.3195493966341,0.907223649322987,2.23095351457595,37.0,17.2163150559895,44.1741742874165,7756.96188744253,8.95634602716728
COL,COLOMBIA,4.74,-5.06727385520936,-5.98245042562485,0.197484056465327,1.96628832817078,40.0,12.8055612162808,59.7159078921527,6680.44506854481,8.806939891338876
MUS,MAURITIUS,4.74,5.83163797855377,11.1739690303802,10.6152012348175,16.3254854679108,51.0,14.5746244431594,90.5263443555157,10246.5017455553,9.234691633196247
SRB,SERBIA,4.74,-6.38911131024361,-1.59072284400463,0.915911264717579,1.91929417848587,36.0,24.3408120536824,89.4157368417161,10024.8191112596,9.212819208247351
ARM,ARMENIA,4.72,0.39159687422216,-2.36658120155334,-4.40315318107605,-0.267103232443333,47.0,26.0052616558975,55.3477332562389,6571.97445545099,8.790569592273615
CRI,COSTA RICA,4.72,6.52195000648498,6.10757052898407,0.741083670407534,7.93886411190033,55.0,15.8409730759083,68.4896897601052,13625.9008491328,9.519727734713333
KAZ,KAZAKHSTAN,4.71,-2.5969073176384,-6.64344394207001,2.00330571830273,-0.157276760786772,39.0,12.4484039740407,81.1084645196623,11255.3396437881,9.32859793003239
FJI,FIJI,4.7,5.44209802150726,4.5289888381958,8.3001953959465,-0.843040823936462,52.0,10.2445587081009,69.1155037619615,5414.12092119088,8.596765804832636
GEO,GEORGIA,4.69,8.68460381031036,2.37609879672528,9.1067801117897,14.452321767807,53.0,31.3369163242755,70.4986885500291,6729.84659930283,8.814307628813294
MAR,MOROCCO,4.69,-5.21444302797317,-2.8276382535696,-1.49454094469548,-1.2164551615715,38.0,21.5927021466739,44.3728342386603,3463.1376953125,8.149930305469434
CYP,CYPRUS,4.67,5.90138068795204,7.98646992444992,10.2270986437798,10.8325535058975,53.0,21.8602710483521,93.1299045859698,33231.04296875,10.411239747216316
HRV,CROATIA,4.66,2.07065977156162,5.15139397978783,8.14075249433517,7.03569841384888,50.0,26.2329644215797,91.8041946650619,18465.5414420364,9.823661649469079
JPN,JAPAN,4.66,21.5593101978302,21.8134665489196,22.6741354465485,20.1428158283233,73.0,33.6645950465813,98.4894200399726,34065.6438962526,10.436044645018049
MLT,MALTA,4.65,3.34209971129894,11.0100029110908,11.2593227028847,9.4373129606247,51.0,22.1125267464018,96.446811059552,35638.8869457406,10.481192650618405
MDA,MOLDOVA,4.59,-4.7891800403595,-4.01141920685768,-4.30227345228195,1.42506995797158,42.0,28.8002405552296,64.2455175635428,5744.29618434435,8.655962673525478
TUN,TUNISIA,4.59,-3.8580307662487,-1.38652085512876,-3.93512511253357,-5.79846256971359,40.0,22.1065341121696,36.853236511337,3707.29283414381,8.218057194944155
ITA,ITALY,4.56,7.38847184181214,4.15788450837135,6.28391656279564,7.1530408859253,56.0,33.1305568880433,97.2945565478995,35653.9042103495,10.481613934862926
KOR,"KOREA, SOUTH",4.56,10.477813243866,16.2250726222992,18.8903455734253,16.0331156253814,63.0,12.916581643082,98.6713470938187,34822.4048404971,10.458016275856812
BWA,BOTSWANA,4.53,9.26354521512986,6.48605278134346,6.32443714141846,8.69460988044739,59.0,7.72815400349403,58.7631963352309,8328.7090572666,9.027463748032948
TTO,TRINIDAD AND TOBAGO,4.51,-5.31389039754867,-2.35505859553814,-0.354645693674683,-1.0372906178236,42.0,9.43971651805164,69.1155037619615,20750.5202434652,9.940326597318775
DMA,DOMINICA,4.46,7.55229568481445,10.2723195552826,-1.36092134565115,4.78113204240799,56.0,13.6848047349424,69.1155037619615,9323.66089490562,9.140310630436536
POL,POLAND,4.46,7.09337955713272,6.01120859384536,3.62859690189361,10.0422792434692,54.0,22.5906133089055,95.7201672270221,18891.2121169279,9.84645212555858
SGP,SINGAPORE,4.3,29.3259649276733,24.9022763967514,30.0234308242798,31.0012969970703,83.0,6.418995397037,97.5498512325819,90299.0694637269,11.410882434409864
USA,UNITED STATES,4.3,15.4588242769241,19.1862335205078,17.5804207324982,19.9421586990356,69.0,27.1972113235755,94.9532296473716,76657.2488844403,11.247099451053959
DEU,GERMANY,4.29,25.4571747779846,21.4560468196868,18.0537493228912,21.3121299743653,78.0,7.02622423774413,99.9765938161833,50506.5179638543,10.829857675525991
CAN,CANADA,4.28,23.2200700044632,21.9158821105957,21.9358174800873,23.479299068451,76.0,19.7666921928137,99.6346150066946,56256.8007264015,10.937682214561326
MKD,MACEDONIA NORTH,4.26,-4.53194972872734,-1.35217375308275,-1.1371942833066,6.34142434597015,42.0,24.8302830652269,85.2886912768171,7606.2375253797,8.936723916685809
SVK,SLOVAKIA,4.22,2.98829811811448,8.70475614070892,5.29729309678078,11.90354180336,54.0,20.647541871904,95.6196968335478,21317.7943982363,9.967297420687904
NLD,NETHERLANDS,4.15,26.8406627178192,23.1993410587311,22.1085759401321,23.9718086719513,79.0,5.1834867471737,99.7331679359432,59123.318556487,10.987380686598927
BEL,BELGIUM,4.13,20.9301552772522,18.8802126646041,17.1839163303375,17.5413727760314,73.0,21.1406368047824,99.0056968401204,50605.7496677086,10.831820478616793
CHL,CHILE,4.13,13.5548291802406,9.65198576450348,7.6509457230568,13.6977559328079,66.0,10.0108764456755,87.0620678198245,15405.6165774073,9.642487434728823
AUT,AUSTRIA,4.1,17.6204433441162,23.8708642721176,20.5126106739044,17.9647970199585,71.0,11.4572764361799,99.9507174861928,52336.7725223758,10.86545451049114
PRT,PORTUGAL,4.08,10.205587387085,15.5830310583115,14.0190725326538,10.6774264574051,61.0,29.8646453277377,92.6495073207262,24620.5197587181,10.11133551075517
URY,URUGUAY,4.08,22.5472099781036,10.7494549751282,11.8968527317047,9.99011182785034,73.0,9.56989290025897,74.1272677007413,20818.6146091144,9.943602798606014
CHE,SWITZERLAND,4.05,28.1307306289673,24.5209659337997,28.6956868171692,22.6815822124482,82.0,35.0488161735867,99.491031115136,94394.5106803525,11.455238200870303
